Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Hamburgers,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,241,1 EA,17.1g,0g,7g,0g,1g,0g,75.3mg,0g,75.3mg,21.1g,26.1mg,2.7mg,mcg,271mg
Quesadilla Bar,Gelfenbien,Lunch,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Thai Chicken Wrap,Gelfenbien,Lunch,"Fish, Wheat, Soybeans, Sesame",[],2023-01-19,294,1/2 EACH,5.7g,35.8g,1.3g,0.9g,0g,8.4g,48.9mg,1.6g,1347.4mg,25.2g,118.6mg,2.6mg,0mcg,105.9mg
Pepperoni Pizza,Gelfenbien,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-19,178,1/16 PIE,7.3g,20g,3.3g,1g,0g,1.8g,17mg,0.4g,397.3mg,8.4g,124.2mg,1.3mg,0mcg,26.5mg
Special Pizza,Gelfenbien,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-19,149,1/16 PIE,4.9g,19.3g,2.4g,0.8g,0g,1.4g,11.4mg,0.4g,291.9mg,7.2g,118.5mg,1.2mg,0mcg,26.5mg
Cherry White Chocolate Cookies,Gelfenbien,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,180,1 EACH,7g,27g,3.5g,0g,0g,16g,15mg,0g,115mg,2g,26mg,0.7mg,mcg,mg
Jonathan Bar,Gelfenbien,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,344,1/35 HFPAN,14.6g,48.2g,8.6g,0g,0.4g,27.4g,49.7mg,27.1g,139.6mg,4g,6.9mg,1.3mg,0mcg,30.2mg
Fried Brown Rice with Tofu & Vegetables,Gelfenbien,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,178,6 OZ,5g,26.9g,0.4g,2.7g,0g,2.3g,0mg,0g,257.1mg,7g,49.8mg,1.2mg,0mcg,224.6mg
Sizzlin Shrimp & Pasta,Gelfenbien,Dinner,"Milk, Fish, Crustacean Shellfish, Wheat, Soybeans",['Less Sodium'],2023-01-19,168,4 OZ,5.7g,18.8g,3.3g,1.3g,0g,1.9g,48.3mg,0g,269mg,9.3g,39mg,0.9mg,0mcg,36.8mg
Cheese Manicotti,Gelfenbien,Dinner,"Milk, Eggs, Wheat",['Vegetarian'],2023-01-19,496,2 EACH,20.1g,57.1g,8.2g,2.7g,0g,16.8g,95.1mg,0g,1215.6mg,21.4g,353.7mg,5.1mg,0mcg,91.2mg
Zesty Fried Chicken Tenders,Gelfenbien,Dinner,"Wheat, Gluten",[],2023-01-19,682,4 EACH,48.9g,34.7g,5.7g,0g,0g,0g,51mg,0g,1204.3mg,32.7g,53.1mg,0.7mg,mcg,mg
Chicago Dog,Gelfenbien,Dinner,"Wheat, Soybeans",[],2023-01-19,306,1 EACH,16.3g,27.8g,5.1g,1.4g,0g,6.9g,30.5mg,0g,1340.3mg,10.4g,70.6mg,1.9mg,0mcg,84.6mg
Broccoli Saute,Gelfenbien,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,37,3 OZ,1.6g,4.8g,0.1g,2g,0g,1.6g,0mg,0g,210mg,2.4g,38.9mg,0.7mg,0mcg,273.4mg
Summer Vegetable Medley,Gelfenbien,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,14,3 OZ,0.2g,2.9g,0g,0.4g,0g,1.8g,0mg,0g,108.8mg,1g,13mg,0.3mg,0mcg,205.7mg
Dilly Fries,Gelfenbien,Dinner,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-19,199,4 OZ,15.2g,17.7g,1.3g,1g,0g,1g,0mg,0g,639.5mg,1g,20.9mg,0.5mg,0mcg,269.3mg
"Chorizo, Egg & Cheese English Muffin Sandwich",Gelfenbien,Breakfast,"Milk, Eggs, Wheat, Soybeans",[],2023-01-20,434,1 EACH,26.9g,32.5g,8.3g,0g,0.1g,1.5g,159.4mg,1g,911.4mg,18.6g,198.9mg,3.6mg,1.7mcg,192.4mg
French Toast,Gelfenbien,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-20,315,2 SLICES,9.9g,36.6g,2.9g,0g,0g,4.6g,263.4mg,2g,486mg,16.9g,180.3mg,3.6mg,2.6mcg,169.2mg
Vegan French Toast,Gelfenbien,Breakfast,"Wheat, Soybeans","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,309,2 EACH,8g,48.2g,0.2g,0.1g,0g,9g,0mg,7.2g,542.9mg,11.4g,184.4mg,2.8mg,1.5mcg,219.5mg
Bacon,Gelfenbien,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-20,45,2 EACH,3.5g,0g,1.5g,0g,0g,0g,10mg,0g,125mg,3g,0mg,0mg,mcg,mg
Plant-Based Breakfast Sausage,Gelfenbien,Breakfast,"Soybeans, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,90,1 EACH,6g,4g,2.5g,0g,0g,0g,0mg,0g,210mg,6g,49mg,1mg,0mcg,280mg
Cranberry Orange Bread,Gelfenbien,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,260,1/16 LOAF,10g,40.1g,4.5g,0.8g,0g,23.5g,44.9mg,0g,210.6mg,3g,16.1mg,1.1mg,0mcg,50.1mg
Asian Maple Salmon Fillet,Gelfenbien,Lunch,"Fish, Soybeans","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,172,1 EACH,7g,2.8g,1g,0g,0g,1.5g,45.2mg,1.4g,121mg,22.2g,0.4mg,0mg,0mcg,0.9mg
Grilled Andouille & Peppers,Gelfenbien,Lunch,,['Gluten Friendly'],2023-01-20,184,1 EA,14.7g,4.3g,4.9g,0.6g,0.3g,1.5g,37.5mg,0g,558.2mg,9.1g,23mg,0.6mg,0mcg,66.7mg
Jamaican Jerk Chicken Thighs,Gelfenbien,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,159,4 OZ,5g,1.5g,1.1g,0.3g,0g,0.6g,114mg,0.4g,196.7mg,24.2g,27.3mg,1.4mg,0mcg,19.1mg
Tempeh Portabella Burger,Gelfenbien,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,121,1 EACH,3.4g,14.6g,0.6g,0.8g,0g,2.7g,0mg,0g,389.9mg,9g,70mg,3.4mg,0.4mcg,237mg
Tortellini Primavera,Gelfenbien,Lunch,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-20,202,6 OZ,6.1g,30.8g,1.8g,2.3g,0g,2.8g,26.7mg,0g,442.1mg,7g,40.1mg,1.4mg,0mcg,179.2mg
New England Clam Chowder,Gelfenbien,Lunch,"Milk, Wheat",[],2023-01-20,212,6 OZL,11g,15.3g,6.9g,0.1g,0g,1.8g,48.2mg,0g,941.3mg,7.6g,540.1mg,1.4mg,0mcg,58.3mg
Basilico Rice,Gelfenbien,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,203,4 OZ,9.3g,26.3g,1.4g,0.3g,0g,0.9g,1.6mg,0g,163mg,3.5g,56.6mg,1.7mg,0mcg,131.3mg
Spinach Saute,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,27,3 OZ,0.9g,3.5g,0.1g,2g,0g,0.4g,0mg,0g,134mg,2.6g,88.5mg,2.4mg,0mcg,491mg
Beef Cheeseburger No Bun,Gelfenbien,Lunch,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium']",2023-01-20,292,1 EACH,19.3g,1.5g,8.2g,0g,0.7g,0.5g,90.9mg,0g,325.6mg,27g,91.2mg,2.6mg,0.1mcg,375.1mg
Crinkle Cut Fries,Gelfenbien,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-20,240,4 OZ,17.7g,21g,1.8g,2g,0g,0g,0mg,0g,420.2mg,2g,0mg,0.4mg,mcg,280.2mg
Fresh Fruit Salad,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,54,4 OZ,0.1g,14.2g,0g,0.4g,0g,12.1g,0mg,0g,10mg,0.6g,9.4mg,0.2mg,0mcg,88.5mg
Macaroni Salad,Gelfenbien,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,221,4 OZ,14.2g,19g,1.3g,1.1g,0g,1.1g,0mg,0g,230.2mg,3.2g,4.4mg,0.8mg,0mcg,23.5mg
Rice Pilaf,Gelfenbien,Lunch,Soybeans,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,208,4 OZ,6.7g,33.1g,2g,0.2g,0g,0.7g,1.5mg,0.1g,310.7mg,4g,33.1mg,1.7mg,0mcg,100.6mg
Vegetable Soup,Gelfenbien,Lunch,Soybeans,"['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-20,17,6 OZL,1g,1.7g,0g,0.5g,0g,1g,2.9mg,0g,524.1mg,1.2g,12.8mg,0.1mg,0mcg,67.4mg
Veggie & Hummus Wrap,Gelfenbien,Lunch,"Wheat, Soybeans, Sesame","['Vegetarian', 'Vegan']",2023-01-20,446,1 EACH,15.3g,64.9g,3g,3.4g,0g,5.7g,0mg,0g,748.7mg,11.4g,176.7mg,4.3mg,0mcg,491.9mg
Halal Cheeseburgers,Gelfenbien,Lunch,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-20,365,1 EACH,30g,0g,13.2g,0g,0g,0g,88.8mg,0g,201.8mg,22.5g,263.3mg,0mg,mcg,mg
Sweet Potato Wedges,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,138,4 OZ,4.7g,22.1g,0.4g,3.3g,0g,4.9g,0mg,0.3g,104.6mg,1.7g,33.4mg,0.7mg,0mcg,364.8mg
Chocolate Chip Cookie,Gelfenbien,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,170,1 EACH,8g,23g,4g,1g,0g,15g,10mg,0g,130mg,2g,0mg,2mg,mcg,70mg
Oatmeal Raisin Cookies,Gelfenbien,Lunch,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,280,2 EACH,9g,44g,3g,0g,0g,26g,0mg,16g,170mg,4g,18mg,1.4mg,0mcg,164mg
Sauteed Broccoli Rabe & Cannellini Beans,Gelfenbien,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,122,6 OZ,3.8g,14.2g,0.5g,2.9g,0g,1.1g,0mg,0g,137.2mg,7.8g,158.1mg,2.6mg,0mcg,605.6mg
Butter-Crumb Scrod,Gelfenbien,Dinner,"Milk, Fish, Wheat",['Less Sodium'],2023-01-20,196,1 EACH,8.2g,10.7g,4.5g,0.6g,0g,0g,64.2mg,0g,268.4mg,19.7g,19.1mg,0.3mg,0mcg,4.5mg
Chicken Caprese Pasta,Gelfenbien,Dinner,"Milk, Wheat, Soybeans",['Less Sodium'],2023-01-20,272,6 OZ,10.4g,23.4g,3.3g,1g,0g,2.2g,44.6mg,0g,398mg,20.8g,137.5mg,1.5mg,0mcg,120.9mg
Kielbasa,Gelfenbien,Dinner,,['Gluten Friendly'],2023-01-20,306,3 OZ,27.5g,4.6g,9.2g,0g,0g,1.5g,45.9mg,0g,1132.2mg,7.7g,39.8mg,0.6mg,mcg,mg
Potato & Cheese Pierogi,Gelfenbien,Dinner,"Milk, Eggs, Wheat, Soybeans",['Vegetarian'],2023-01-20,343,4 EACH,15.7g,42.8g,5.5g,0.2g,0g,1.5g,25.1mg,0g,696.6mg,7.1g,32.9mg,2.3mg,0mcg,266.3mg
Siciliani Panini,Gelfenbien,Dinner,"Milk, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).",[],2023-01-20,473,1 ea,26.8g,40.8g,6.5g,1g,0g,8.8g,35.3mg,3.2g,970.6mg,16.1g,135.7mg,2.8mg,0mcg,92.4mg
Herbed Rice,Gelfenbien,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,249,4 OZ,11g,33.6g,2.7g,0.2g,0g,0.4g,0mg,0g,308.4mg,3.5g,33.4mg,1.8mg,0mcg,86.9mg
Roasted Green Beans,Gelfenbien,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,33,3 OZ,0.5g,6.9g,0.1g,2.8g,0g,3.2g,0mg,0g,14.5mg,1.7g,38.5mg,0.6mg,0mcg,127.6mg
Grilled Hot Dogs,Gelfenbien,Dinner,,['Gluten Friendly'],2023-01-20,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
Sweet Potato Black Bean Burger with Bun,Gelfenbien,Dinner,"Wheat, Soybeans","['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,330,1 EACH,4g,61g,0g,8g,0g,6g,0mg,0g,500mg,14g,660mg,3.8mg,0mcg,615mg
"Bacon, Egg & Cheese Bagel",Gelfenbien,Dinner,"Milk, Eggs, Wheat, Soybeans",[],2023-01-20,473,1 EACH,15g,62g,5.3g,2g,0g,6.6g,140.1mg,6.1g,1068.2mg,20.6g,181mg,5.1mg,1.1mcg,180.1mg
Cauliflower Buffalo Wrap,Gelfenbien,Dinner,"Wheat, Soybeans","['Vegetarian', 'Vegan']",2023-01-20,512,1 EACH,23.8g,61.5g,4.6g,5.1g,0g,4.2g,0mg,0g,1305.6mg,13.6g,275.5mg,4.5mg,0mcg,881.7mg
Classic Italian Combo,Gelfenbien,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",[],2023-01-20,1026,1 EACH,56.7g,76g,22.9g,0.1g,0g,6.1g,841.5mg,0g,3548.7mg,47.2g,301.3mg,5mg,0mcg,9.3mg
Garden Side Salad,Gelfenbien,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,52,1 EACH,0.4g,11.4g,0.1g,3.7g,0g,5.6g,0mg,0g,32.4mg,2.2g,63.3mg,1.3mg,0mcg,419.3mg
Gluten Free Egg And Cheese Bagel,Gelfenbien,Dinner,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Vegetarian']",2023-01-20,436,1 EACH,20.5g,49.5g,8.8g,0g,0g,5.5g,130.1mg,0g,858.4mg,15.5g,155.9mg,2.1mg,1.1mcg,92.4mg
Gluten Free Turkey and Cheese Sandwich,Gelfenbien,Dinner,Milk,['Gluten Friendly'],2023-01-20,388,1 EACH,13.1g,43.4g,5.1g,5.2g,0g,6.1g,62.6mg,6g,1350.8mg,23.2g,274.4mg,2.2mg,0mcg,71.5mg
Large Chocolate Chip Cookie,Gelfenbien,Dinner,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,500,1 EACH,22g,70g,12g,2g,0g,44g,40mg,0g,380mg,6g,22mg,4mg,mcg,mg
Side Salad with Grilled Chicken Strips,Gelfenbien,Dinner,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium']",2023-01-20,206,1 EACH,10g,9.9g,5.6g,2.8g,0g,4.9g,56.7mg,0g,385.4mg,20.2g,270.9mg,1.4mg,0mcg,331.8mg
Turkey and Swiss Croissant,Gelfenbien,Dinner,"Milk, Wheat, Soybeans",[],2023-01-20,643,1 EACH,42.2g,35.3g,12.1g,0.1g,0g,5.8g,62.6mg,0g,1431.1mg,28.3g,326.3mg,3.1mg,0mcg,87.7mg
Wrapped Brownie,Gelfenbien,Dinner,"Milk, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,421,1 EACH,16.1g,64.8g,4g,2.3g,0g,48.6g,0mg,0g,278.7mg,2.3g,0.7mg,3.3mg,0mcg,0mg
Basmati Rice,Gelfenbien,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,172,4 OZ,2.5g,33.6g,0.8g,0g,0g,0g,0mg,0g,64.6mg,2.8g,2.2mg,0mg,0mcg,0.7mg
Halal Chicken Tikka Masala,Gelfenbien,Dinner,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-20,176,4 OZ,12.4g,4.5g,7.7g,0.3g,0g,2.8g,81.4mg,0.9g,231.3mg,10.6g,526.6mg,3.1mg,0mcg,160mg
Peach Bread Pudding,Gelfenbien,Dinner,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,6665,1 HFPAN,201.8g,898.6g,78g,13.8g,0g,604.1g,4441.1mg,431.5g,5848.4mg,288.1g,4488.6mg,48.5mg,72.3mcg,3436.3mg
House Quiche,Gelfenbien,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-21,339,1/8 PIE,25.7g,0.7g,15g,0g,0g,4g,188.6mg,0g,206.6mg,14.9g,1980.3mg,0.4mg,0mcg,0.3mg
Raspberry Stuffed French Toast,Gelfenbien,Lunch,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-21,202,1/28 EACH,6.6g,28.6g,3.1g,0g,0g,11.7g,76.7mg,0.9g,249.5mg,6.5g,89.2mg,1.3mg,0.7mcg,73.1mg
Sausage Patties,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-21,253,2 EACH,24.3g,0g,9.1g,0g,0g,0g,40.5mg,0g,546.8mg,8.1g,0mg,0.4mg,mcg,mg
Strawberry Syrup,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-21,43,1 OZL,0g,10.3g,0g,0g,0g,8.6g,0mg,7.4g,0mg,0g,1mg,0.2mg,0mcg,41.6mg
Cheese Omelet,Gelfenbien,Lunch,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-21,233,4 OZ,15.8g,1.4g,6.9g,0g,0g,0.5g,418.7mg,0g,410.6mg,18g,165.1mg,2.6mg,2.4mcg,181.1mg
